               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094867,            0.021889,            0.082667,          0.00036845,           0.0035088,          0.00018021,          3.8493e-05,            0.088544,            0.012609,             0.14125,            0.070114,           0.0033207,           0.0033207
                   1,            0.080016,            0.023495,            0.078194,          0.00051515,            0.013438,          0.00088051,           0.0002097,            0.064156,            0.013255,            0.069216,            0.040048,           0.0065881,           0.0065881
                   2,            0.072877,            0.024504,            0.072894,           0.0029647,             0.55661,             0.01468,            0.003967,            0.062001,            0.012228,            0.064625,           0.0099163,           0.0097896,           0.0097896
                   3,            0.063726,            0.022776,            0.066287,             0.32786,             0.15037,            0.070671,            0.023336,            0.058314,            0.016133,            0.054512,            0.009703,            0.009703,            0.009703
                   4,            0.058225,            0.020377,             0.05813,             0.30157,             0.42096,             0.19949,             0.10107,            0.042291,           0.0085463,             0.04699,            0.009703,            0.009703,            0.009703
                   5,            0.053359,            0.017904,             0.05155,             0.33158,             0.51754,             0.27629,             0.12809,            0.041605,           0.0071073,            0.042129,            0.009604,            0.009604,            0.009604
                   6,            0.049859,            0.016699,            0.048966,             0.28765,             0.59631,             0.26816,             0.12456,            0.042321,            0.006853,            0.041048,            0.009505,            0.009505,            0.009505
                   7,            0.047824,            0.015741,            0.046744,             0.32903,             0.66771,             0.36382,             0.20698,            0.035058,            0.006404,            0.036706,            0.009406,            0.009406,            0.009406
                   8,            0.045795,            0.015028,            0.045529,              0.3402,             0.65282,              0.3898,             0.20367,            0.035452,           0.0061998,            0.036404,            0.009307,            0.009307,            0.009307
                   9,            0.044426,            0.014575,            0.043928,             0.42116,             0.64617,             0.45618,             0.24752,            0.034031,           0.0056767,            0.035621,            0.009208,            0.009208,            0.009208
                  10,            0.044383,            0.014089,            0.041957,              0.4007,             0.68008,             0.44589,             0.25399,            0.034657,           0.0059165,            0.033807,            0.009109,            0.009109,            0.009109
                  11,            0.043044,            0.013713,            0.039871,             0.51925,             0.63601,             0.52507,              0.2777,            0.037073,           0.0053305,            0.030856,             0.00901,             0.00901,             0.00901
                  12,            0.042514,            0.013643,            0.037596,             0.55265,             0.60503,             0.58601,             0.34542,            0.031629,           0.0053211,            0.027776,            0.008911,            0.008911,            0.008911
                  13,            0.041871,            0.013603,            0.035882,             0.58149,             0.68683,              0.6113,             0.34773,            0.031434,             0.00524,            0.026527,            0.008812,            0.008812,            0.008812
                  14,            0.040975,            0.013351,            0.034332,             0.57817,             0.64158,             0.60833,             0.34411,            0.032913,           0.0050913,            0.025189,            0.008713,            0.008713,            0.008713
                  15,            0.041394,            0.013158,            0.032966,             0.68174,             0.73378,              0.6956,             0.40934,            0.029214,           0.0051945,            0.022145,            0.008614,            0.008614,            0.008614
                  16,            0.040525,            0.012955,            0.031476,             0.65577,             0.73679,             0.66255,             0.38874,            0.032281,           0.0051473,            0.020493,            0.008515,            0.008515,            0.008515
                  17,            0.040075,            0.012714,             0.03032,             0.70006,             0.71756,             0.69816,             0.41864,            0.031708,           0.0049356,            0.021112,            0.008416,            0.008416,            0.008416
                  18,            0.040101,            0.012679,            0.029618,             0.69824,             0.73269,             0.73862,              0.4529,            0.029707,           0.0049911,            0.021329,            0.008317,            0.008317,            0.008317
                  19,            0.039615,            0.012672,            0.027646,             0.77269,             0.73572,             0.74939,             0.47363,            0.027604,           0.0049024,            0.018329,            0.008218,            0.008218,            0.008218
                  20,            0.039044,            0.012402,            0.026454,             0.78219,             0.75962,             0.76216,             0.49316,            0.026651,           0.0049046,            0.015983,            0.008119,            0.008119,            0.008119
                  21,            0.038446,            0.012496,            0.025615,             0.80155,             0.76744,             0.76026,             0.46472,            0.029969,           0.0048644,            0.016161,             0.00802,             0.00802,             0.00802
                  22,            0.038427,            0.012216,            0.024298,             0.78735,             0.77344,             0.76907,             0.50441,            0.026204,           0.0049102,            0.016276,            0.007921,            0.007921,            0.007921
                  23,            0.038003,            0.011935,            0.024593,             0.84275,             0.76733,              0.8053,             0.49566,            0.027056,           0.0048392,            0.014392,            0.007822,            0.007822,            0.007822
                  24,            0.037116,            0.012055,            0.023119,              0.8654,             0.76159,             0.83477,              0.5402,            0.025604,           0.0047965,              0.0143,            0.007723,            0.007723,            0.007723
                  25,            0.037235,            0.011926,            0.022447,             0.85699,             0.77491,             0.82276,             0.55791,            0.026133,            0.004681,            0.014271,            0.007624,            0.007624,            0.007624
                  26,            0.036758,            0.011938,            0.022695,             0.85968,             0.76418,             0.83734,             0.56645,            0.025451,           0.0046101,            0.013583,            0.007525,            0.007525,            0.007525
                  27,            0.036206,            0.011952,            0.020929,             0.87977,             0.78027,             0.83725,             0.56725,            0.025202,           0.0046036,            0.012387,            0.007426,            0.007426,            0.007426
                  28,            0.036077,            0.011656,            0.020405,             0.85666,             0.77795,              0.8183,             0.54301,            0.025911,            0.004793,            0.013307,            0.007327,            0.007327,            0.007327
                  29,            0.035986,            0.011577,            0.019656,             0.89743,             0.79682,             0.83705,             0.54439,            0.026606,           0.0045887,             0.01017,            0.007228,            0.007228,            0.007228
                  30,            0.035664,            0.011574,               0.019,             0.88755,              0.7816,             0.82301,             0.56896,            0.025202,           0.0046169,            0.010802,            0.007129,            0.007129,            0.007129
                  31,            0.035282,            0.011533,            0.018841,              0.9094,             0.78593,             0.85288,             0.59986,            0.024889,           0.0045705,           0.0098499,             0.00703,             0.00703,             0.00703
                  32,            0.034789,            0.011419,             0.01804,             0.85415,             0.83388,             0.85785,             0.59261,            0.024589,           0.0045114,           0.0086691,            0.006931,            0.006931,            0.006931
                  33,            0.035361,            0.011522,             0.01762,             0.93505,             0.77852,             0.89391,             0.58674,            0.025531,           0.0044908,           0.0095812,            0.006832,            0.006832,            0.006832
                  34,            0.034664,             0.01137,            0.017179,             0.81238,             0.82191,              0.8294,              0.5789,            0.024403,           0.0045063,            0.011102,            0.006733,            0.006733,            0.006733
                  35,            0.034392,            0.011117,            0.016804,             0.86866,             0.86132,             0.90041,             0.62375,            0.024009,           0.0044471,           0.0082202,            0.006634,            0.006634,            0.006634
                  36,            0.033959,            0.011205,            0.016803,             0.85173,             0.86557,             0.89556,              0.6295,            0.023093,           0.0044215,           0.0085806,            0.006535,            0.006535,            0.006535
                  37,            0.034328,            0.011106,             0.01694,             0.86405,             0.84002,              0.8843,             0.61124,             0.02412,           0.0044787,           0.0081509,            0.006436,            0.006436,            0.006436
                  38,            0.034076,            0.010944,            0.015845,             0.85478,             0.85052,             0.90738,             0.64514,            0.022647,             0.00447,           0.0084855,            0.006337,            0.006337,            0.006337
                  39,            0.033519,            0.011111,            0.015884,             0.91008,               0.838,             0.90779,             0.65141,            0.023314,           0.0043524,           0.0074077,            0.006238,            0.006238,            0.006238
